DeviceID,BayID,FromDay1,StartTime1,ToDay1,EndTime1,Exemption1,Description1,EffectiveOnPH1,TypeDesc1,Duration1,DisabilityExt1,FromDay2,StartTime2,ToDay2,EndTime2,Exemption2,Description2,TypeDesc2,Duration2,DisabilityExt2,EffectiveOnPH2,FromDay3,StartTime3,ToDay3,EndTime3,Exemption3,Description3,TypeDesc3,Duration3,DisabilityExt3,EffectiveOnPH3,FromDay4,StartTime4,ToDay4,EndTime4,Exemption4,Description4,TypeDesc4,Duration4,DisabilityExt4,EffectiveOnPH4,FromDay5,StartTime5,ToDay5,EndTime5,Exemption5,Description5,TypeDesc5,Duration5,DisabilityExt5,EffectiveOnPH5,FromDay6,StartTime6,ToDay6,EndTime6,Exemption6,Description6,TypeDesc6,Duration6,DisabilityExt6,EffectiveOnPH6
20467,2671,1,7:30:00,5,18:30:00,,1P TKT A M-F 7:30-18:30,0,1P Ticket A,60,120,6,7:30:00,6,12:30:00,,1P TKT A SAT 7:30-12:30,1P Ticket A,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20468,2672,1,7:30:00,5,18:30:00,,1P TKT A M-F 7:30-18:30,0,1P Ticket A,60,120,6,7:30:00,6,12:30:00,,1P TKT A SAT 7:30-12:30,1P Ticket A,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20469,2673,1,7:30:00,5,18:30:00,,1P TKT A M-F 7:30-18:30,0,1P Ticket A,60,120,6,7:30:00,6,12:30:00,,1P TKT A SAT 7:30-12:30,1P Ticket A,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20470,2674,1,7:30:00,5,18:30:00,,1P TKT A M-F 7:30-18:30,0,1P Ticket A,60,120,6,7:30:00,6,12:30:00,,1P TKT A SAT 7:30-12:30,1P Ticket A,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20471,2675,1,7:30:00,5,18:30:00,,1P TKT A M-F 7:30-18:30,0,1P Ticket A,60,120,6,7:30:00,6,12:30:00,,1P TKT A SAT 7:30-12:30,1P Ticket A,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20472,2676,1,7:30:00,5,18:30:00,,1P TKT A M-F 7:30-18:30,0,1P Ticket A,60,120,6,7:30:00,6,12:30:00,,1P TKT A SAT 7:30-12:30,1P Ticket A,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20473,2677,1,7:30:00,5,18:30:00,,1P TKT A M-F 7:30-18:30,0,1P Ticket A,60,120,6,7:30:00,6,12:30:00,,1P TKT A SAT 7:30-12:30,1P Ticket A,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20474,2678,1,7:30:00,5,18:30:00,,1P TKT A M-F 7:30-18:30,0,1P Ticket A,60,120,6,7:30:00,6,12:30:00,,1P TKT A SAT 7:30-12:30,1P Ticket A,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20475,2679,1,7:30:00,5,18:30:00,,1P TKT A M-F 7:30-18:30,0,1P Ticket A,60,120,6,7:30:00,6,12:30:00,,1P TKT A SAT 7:30-12:30,1P Ticket A,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20476,2680,1,7:30:00,5,18:30:00,,1P TKT A M-F 7:30-18:30,0,1P Ticket A,60,120,6,7:30:00,6,12:30:00,,1P TKT A SAT 7:30-12:30,1P Ticket A,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20477,2681,1,7:30:00,5,18:30:00,,1P TKT A M-F 7:30-18:30,0,1P Ticket A,60,120,6,7:30:00,6,12:30:00,,1P TKT A SAT 7:30-12:30,1P Ticket A,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20478,2682,1,7:30:00,5,18:30:00,,1P TKT A M-F 7:30-18:30,0,1P Ticket A,60,120,6,7:30:00,6,12:30:00,,1P TKT A SAT 7:30-12:30,1P Ticket A,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20479,2683,1,7:30:00,5,18:30:00,,1P TKT A M-F 7:30-18:30,0,1P Ticket A,60,120,6,7:30:00,6,12:30:00,,1P TKT A SAT 7:30-12:30,1P Ticket A,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20480,2684,1,7:30:00,5,18:30:00,,1P TKT A M-F 7:30-18:30,0,1P Ticket A,60,120,6,7:30:00,6,12:30:00,,1P TKT A SAT 7:30-12:30,1P Ticket A,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20481,2685,1,7:30:00,5,18:30:00,,1P TKT A M-F 7:30-18:30,0,1P Ticket A,60,120,6,7:30:00,6,12:30:00,,1P TKT A SAT 7:30-12:30,1P Ticket A,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
